country,time,week,valence_score,gdpdev,gdplevel
belgium,2020-06-07,2020-W23,0.5925999999999999,-0.06264294602316257,92.28268054176492
belgium,2020-06-14,2020-W24,0.5871,-0.04297638677550584,94.13494431031931
belgium,2020-06-21,2020-W25,0.6095999999999999,-0.05252949780702087,93.26880079934271
belgium,2020-06-28,2020-W26,0.5948,-0.0359043696694954,94.85193283923728
belgium,2020-07-05,2020-W27,0.5948,-0.03738288265460971,94.73133680955509
belgium,2020-07-12,2020-W28,0.6132000000000001,-0.03163761050244452,95.30664729898004
belgium,2020-07-19,2020-W29,0.6134000000000001,-0.0175808617669612,96.67575032709951
belgium,2020-07-26,2020-W30,0.5633999999999999,-0.05937545573660207,92.7376274073087
belgium,2020-08-02,2020-W31,0.5468,-0.05002082647013648,93.6381944330575
belgium,2020-08-09,2020-W32,0.5708,-0.03283177108583344,95.28131309166378
belgium,2020-08-16,2020-W33,0.5689,-0.02983706580138732,95.58679684176161
belgium,2020-08-23,2020-W34,0.6376999999999999,-0.01957047492927574,96.6030900540186
belgium,2020-08-30,2020-W35,0.6099,-0.009576016601674535,97.59355707906279
belgium,2020-09-06,2020-W36,0.5841000000000001,-0.01680332928328979,96.91075035885017
belgium,2020-09-13,2020-W37,0.5841,-0.02015766981713166,96.61611515220964
belgium,2020-09-20,2020-W38,0.572,-0.01500404375558567,97.13535978211848
belgium,2020-09-27,2020-W39,0.579,-0.01495594820184241,97.16007280952167
belgium,2020-10-04,2020-W40,0.6153,-0.02625451048571975,96.0982136187919
belgium,2020-10-11,2020-W41,0.6262,-0.02335891572966486,96.3967620461801
belgium,2020-10-18,2020-W42,0.6262,-0.03104862670967184,95.67807701130607
belgium,2020-10-25,2020-W43,0.6262,-0.0479259931560846,94.10594868549978
belgium,2020-11-01,2020-W44,0.5695,-0.0488090429819306,94.04228315591116
belgium,2020-11-08,2020-W45,0.5629,-0.03884388660438074,95.00371051121918
belgium,2020-11-15,2020-W46,0.6135999999999999,-0.04589154705679507,94.36570608969382
belgium,2020-11-22,2020-W47,0.6135999999999999,-0.03448083250598816,95.46834525913148
belgium,2020-11-29,2020-W48,0.6136,-0.02800762562308052,96.10816026727368
belgium,2020-12-06,2020-W49,0.6275999999999999,-0.02735966996812002,96.20021745919567
belgium,2020-12-13,2020-W50,0.6276,-0.02173834136013632,96.76247240057343
belgium,2020-12-20,2020-W51,0.6332000000000001,-0.03479498753455024,95.52699537850943
belgium,2020-12-27,2020-W52,0.6404000000000001,-0.03586207091624498,95.45464699240111
belgium,2021-01-03,2021-W01,0.606,-0.01499195732092614,97.48783862886064
belgium,2021-01-10,2021-W02,0.6234,-0.0244206767145489,96.59289708297986
belgium,2021-01-17,2021-W03,0.6735,-0.03795070779411805,95.32428585942476
belgium,2021-01-24,2021-W04,0.6916,-0.03116351857449433,95.99327086260273
belgium,2021-01-31,2021-W05,0.6879,-0.03422490167895559,95.71959206326483
belgium,2021-02-07,2021-W06,0.7125999999999999,-0.02594629704379743,96.545175789531
belgium,2021-02-14,2021-W07,0.7175,-0.03565946022005759,95.63168221284252
belgium,2021-02-21,2021-W08,0.7054,-0.04912582699356213,94.37196921886257
belgium,2021-02-28,2021-W09,0.7072999999999999,-0.03644364309968166,95.60601270774113
belgium,2021-03-07,2021-W10,0.7104999999999999,-0.03083791995958488,96.16329405566252
belgium,2021-03-14,2021-W11,0.7001999999999999,-0.03194684384200447,96.07653302219978
belgium,2021-03-21,2021-W12,0.7001999999999999,-0.01174391568296285,98.06764118944265
belgium,2021-03-28,2021-W13,0.6446,-0.02218772081907354,97.0687938616873
belgium,2021-04-04,2021-W14,0.6334,-0.02910046588174303,96.4199844467398
belgium,2021-04-11,2021-W15,0.6334,-0.02230734119494385,97.10725100556715
belgium,2021-04-18,2021-W16,0.6334,-0.03356338344382839,96.04014646988252
belgium,2021-04-25,2021-W17,0.6334000000000001,-0.02748794012975221,96.645343963482
belgium,2021-05-02,2021-W18,0.6334,-0.01095620990583954,98.28674702245864
belgium,2021-05-09,2021-W19,0.5971,-0.01393400613375206,98.0147218772487
brazil,2019-11-10,2019-W45,0.5971,-0.01660261200807417,100.7077444519744
brazil,2019-11-17,2019-W46,0.6313999999999999,-0.0140085536518449,100.9963343638894
brazil,2019-11-24,2019-W47,0.6436999999999999,-0.007250927615945766,101.7219429134085
brazil,2019-12-01,2019-W48,0.6388999999999999,-0.02341847455380393,100.1173457467998
brazil,2019-12-08,2019-W49,0.6388999999999999,-0.01309848648582378,101.1829642281687
brazil,2019-12-15,2019-W50,0.6388999999999999,-0.009313398920391742,101.6074322733477
brazil,2019-12-22,2019-W51,0.6400999999999999,-0.0288064451987587,99.67262842859412
brazil,2019-12-29,2019-W52,0.6388999999999999,-0.01483763099219268,101.1017439474507
brazil,2020-01-05,2020-W01,0.6388999999999998,-0.03894041739385767,98.73364614288936
brazil,2020-01-12,2020-W02,0.6388999999999998,-0.03912625007563762,98.74170597831859
brazil,2020-01-19,2020-W03,0.6407999999999999,-0.03487636210224197,99.18876576985042
brazil,2020-01-26,2020-W04,0.6512,-0.03882434585298118,98.83758703887912
brazil,2020-02-02,2020-W05,0.667,-0.0324691883852103,99.49432296873076
brazil,2020-02-09,2020-W06,0.667,-0.0209104888532862,100.6779439004736
brazil,2020-02-16,2020-W07,0.6388999999999999,-0.02363130193665634,100.444679884283
brazil,2020-02-23,2020-W08,0.6388999999999999,-0.00471297798930353,102.3903953132154
brazil,2020-03-01,2020-W09,0.6389,-0.02408348849639926,100.452990654431
brazil,2020-03-08,2020-W10,0.6388999999999999,-0.03536370309832697,99.366083281827
brazil,2020-03-15,2020-W11,0.6388999999999998,-0.09792096980096371,93.3654194944695
brazil,2020-03-22,2020-W12,0.6751999999999999,-0.1634321494780309,87.46837657772245
brazil,2020-03-29,2020-W13,0.6641,-0.1609173169495851,87.72380876762738
brazil,2020-04-05,2020-W14,0.6641,-0.1748388471678845,86.53416209180341
brazil,2020-04-12,2020-W15,0.612,-0.155462417919699,88.25083558482869
